,video_name,transcript,Comment (на документ),start,end,glosses,speaker,is_train
0,RSLM-b25-s60-seg1,Парень и девушка молодые хотят целоваться.,13.160 |13.550| вдруг,4.48,8.1,мальчик молодой ухаживать они:DU целоваться хотеть,s60,True
1,RSLM-b25-s60-seg2,"Думают где, все смотрят, тут нельзя, спрятались за дерево.",,8.125,10.855,смотреть:1PS не.мочь CLF:человек:два дерево сесть= ,s60,True
2,RSLM-b25-s60-seg3,"На скамейку сели, только хотели поцеловаться, вдруг мальчик маленький идет и смотрит.",,10.875,15.425,скамейка сесть начать поцеловать:REC случиться мальчик маленький CLF:человек.двигаться глядеть,s60,True
3,RSLM-b25-s60-seg4,"Вздрогнули, смотрят на него, неловко. Говорят: ""Рассказывать не нужно"".",,15.665,19.685,неловко смотреть рассказывать нужно:NEG надоесть? нужно:NEG ,s60,True
4,RSLM-b25-s60-seg5,Мальчик сказал: денег дай.,,19.7,23.25,INDX мальчик маленький PRTCL1 PRTCL1 сказать если деньги дать,s60,True
5,RSLM-b25-s60-seg6,Парню пришлось дать мелочь.,,23.49,25.03,быть.вынужденным CLF:круглый.предмет CLF:дать.монета,s60,True
6,RSLM-b25-s60-seg7,Иди отсюда.,,25.205,25.675,IMP,s60,True
7,RSLM-b25-s60-seg8,?,,25.705,27.585,главный смотреть утаить и IMP,s60,True
8,RSLM-b25-s60-seg9,"Мальчик: ладно. Ушел, купил мороженого.",,27.62,29.79,мальчик PRTCL2 выйти и мороженое купить,s60,True
9,RSLM-b25-s60-seg10,Идет гордый.,,29.8,30.8,гордый,s60,True
10,RSLM-b25-s60-seg11,Толпа детей на него уставилась: откуда мороженое?,,30.825,33.515,группа CLF:множество CLF:люди.смотреть CLF:люди.смотреть мороженое.есть откуда откуда PRTCL1,s60,True
11,RSLM-b25-s60-seg12,"Мальчик: мне деньги дали, там двое целуются.",,33.535,36.945,я мальчик деньги.дать INDX CLF:человек:два целоваться скрыватьсч скрываться деньги.дать,s60,True
12,RSLM-b25-s60-seg13,Дети все: тоже хотим!,,36.965,38.675,CLF:множество CLF:множество все такой.же я хотеть IMP,s60,True
13,RSLM-b25-s60-seg14,Пошли.,,38.685,39.165,,s60,True
14,RSLM-b25-s60-seg15,Побежали толпой.,,39.18,40.23,CLF:множество,s60,True
15,RSLM-b25-s60-seg16,Девушка с парнем смотрят — опять облом.,,40.25,42.11,девочка мальчик смотреть неловко,s60,True
16,RSLM-b25-s62-seg1,Мальчик и девока тайно встречаются.,,2.865,8.385,ухаживать девочка мальчик они:Du скрываться,s62,True
17,RSLM-b25-s62-seg2,"Пока не готовы, чтобы все знали.",,8.415,10.595,быть.готовым публично,s62,True
18,RSLM-b25-s62-seg3,"Например, встретились, сели, разговаривают.",,10.985,14.615,встретиться= сидеть сидеть п-а-р-к место разговаривать,s62,True
19,RSLM-b25-s62-seg4,"А там мальчик идет, застал их за поцелуями.",,14.63,17.67,маленький мальчик глядеть поймать целоваться,s62,True
20,RSLM-b25-s62-seg5,"[Говорят мальчику]: ""Подойди. Не рассказывай никому. Денег дадим"".",,18.55,22.69,IMP распространять тишина нужно:NEG деньги дать,s62,True
21,RSLM-b25-s62-seg6,"Мальчик смотрит на них: ""Денег? Ладно, никому не расскажу"".",,23.03,27.38,смотреть дать да PRTCL2 хорошо распространять быть:FUT:NEG,s62,True
22,RSLM-b25-s62-seg7,"Парень дал денег, выпроводил, хорошо, все.",,27.525,30.295,IMP хороший закончить,s62,True
23,RSLM-b25-s62-seg8,"А мальчик гуляет-гуляет, увидел вывеску магазина.",,30.3,34.86,INDX маленький гулять магазин ассрт мороженое,s62,True
24,RSLM-b25-s62-seg9,"Купил мороженое, идет ест.",,34.87,38.6,заплатить взять есть.мороженое,s62,True
25,RSLM-b25-s62-seg10,"Гуляет, а другие дети увидели у него мороженое: ""Откуда деньги?""",,39.035,43.435,дети CLF:множество CLF:человек мороженое INDX откуда деньги откуда,s62,True
26,RSLM-b25-s62-seg11,"[Мальчик]: ""Хотите тоже денег? Пошли"".",,44.425,47.455,хотеть как зарабатывать деньги IMP,s62,True
27,RSLM-b25-s62-seg12,"Толпа пошла за ним, а там [пара] целуется.",,47.85,49.23,INDX целоваться,s62,True
28,RSLM-b25-s62-seg13,"Дети набежали, уставились.",,49.77,51.91,CLF:множество.двигаться глядеть,s62,True
29,RSLM-b25-s62-seg14,[Девушка и парень ] cмотрят — и вот надо им это было.,,52.1,54.46,нужно NEG2 PRTCL2,s62,True
30,RSLM-b25-s62-seg15,устойчивое выражение,,52.74,53.78,NEG2,s62,True
31,RSLM-b26-s60-seg1,Названия нет? Придумать? Ладно.,,5.16,7.61,название NEG2 придумать PRTCL1 PRTCL2,s60,True
32,RSLM-b26-s60-seg2,"Там муж с женой... а мне куда смотреть, на вас или в камеру? Ага, в камеру.",,8.945,13.715,мужчина муж я куда смотреть INDX INDX куда смотреть INDX,s60,True
33,RSLM-b26-s60-seg3,Муж и жена сидят напротив друг друга.,,15.49,18.78,мальчик муж девочка жена сидеть разговаривать девочка,s60,True
34,RSLM-b26-s60-seg4,"Жена вяжет, муж книгу читает и курит, разговаривают.",,18.795,22.995,жена вязать мальчик муж книга читать читать курить разговаривать,s60,True
35,RSLM-b26-s60-seg5,Вдруг слышат — звонок в дверь.,,23.025,25.115,слышать нажать.звонок,s60,True
